Expression	Value	Location	Type	
SystemCoreClock	59999976	0x20000004	uint32_t	
exe	228	0x20004B80	uint16_t	
SystemTask1_Instance	<struct>	0x20004A80	struct <Unnamed 6>	
task_timestamp	3934983888	0x20004A80	uint32_t	
task_exe_time	228	0x20004A84	uint16_t	
task_curr_con	0	0x20004A86	uint16_t	
task_opf	60	0x20004A88	uint16_t	
task_prv_opf	86	0x20004A8A	uint16_t	
task_deadline	200	0x20004A8C	uint16_t	
isDeadlineMiss	'.' (0x01)	0x20004A8E	uint8_t	
prevDeadlineMiss	'.' (0x01)	0x20004A8F	uint8_t	
swing_cnt	'\0' (0x00)	0x20004A90	uint8_t	
task_tcb	0x20000698 (ucHeap + 1668)	0x20004A94	void *	
pxCurrentTCB	0x20000428 (ucHeap + 1044)	0x20004B44	TCB_t *	
currentTaskInstance	SystemTask1_Instance (0x20004A80)	0x20004B34	struct <Unnamed 6> *	
pxPrevTCB	0x20000698 (ucHeap + 1668)	0x20004B28	void *	
exe_time	<array>	0x200047CC	uint16_t[130]	
[0]	109	0x200047CC	uint16_t	
[1]	110	0x200047CE	uint16_t	
[2]	110	0x200047D0	uint16_t	
[3]	111	0x200047D2	uint16_t	
[4]	111	0x200047D4	uint16_t	
[5]	112	0x200047D6	uint16_t	
[6]	105	0x200047D8	uint16_t	
[7]	105	0x200047DA	uint16_t	
[8]	105	0x200047DC	uint16_t	
[9]	106	0x200047DE	uint16_t	
[10]	106	0x200047E0	uint16_t	
[11]	107	0x200047E2	uint16_t	
[12]	108	0x200047E4	uint16_t	
[13]	108	0x200047E6	uint16_t	
[14]	109	0x200047E8	uint16_t	
[15]	109	0x200047EA	uint16_t	
[16]	111	0x200047EC	uint16_t	
[17]	110	0x200047EE	uint16_t	
[18]	111	0x200047F0	uint16_t	
[19]	111	0x200047F2	uint16_t	
[20]	113	0x200047F4	uint16_t	
[21]	112	0x200047F6	uint16_t	
[22]	114	0x200047F8	uint16_t	
[23]	113	0x200047FA	uint16_t	
[24]	113	0x200047FC	uint16_t	
[25]	115	0x200047FE	uint16_t	
[26]	116	0x20004800	uint16_t	
[27]	117	0x20004802	uint16_t	
[28]	116	0x20004804	uint16_t	
[29]	119	0x20004806	uint16_t	
[30]	118	0x20004808	uint16_t	
[31]	119	0x2000480A	uint16_t	
[32]	120	0x2000480C	uint16_t	
[33]	119	0x2000480E	uint16_t	
[34]	120	0x20004810	uint16_t	
[35]	121	0x20004812	uint16_t	
[36]	121	0x20004814	uint16_t	
[37]	129	0x20004816	uint16_t	
[38]	130	0x20004818	uint16_t	
[39]	131	0x2000481A	uint16_t	
[40]	133	0x2000481C	uint16_t	
[41]	134	0x2000481E	uint16_t	
[42]	135	0x20004820	uint16_t	
[43]	136	0x20004822	uint16_t	
[44]	136	0x20004824	uint16_t	
[45]	138	0x20004826	uint16_t	
[46]	138	0x20004828	uint16_t	
[47]	139	0x2000482A	uint16_t	
[48]	141	0x2000482C	uint16_t	
[49]	140	0x2000482E	uint16_t	
[50]	143	0x20004830	uint16_t	
[51]	144	0x20004832	uint16_t	
[52]	145	0x20004834	uint16_t	
[53]	146	0x20004836	uint16_t	
[54]	146	0x20004838	uint16_t	
[55]	148	0x2000483A	uint16_t	
[56]	149	0x2000483C	uint16_t	
[57]	150	0x2000483E	uint16_t	
[58]	153	0x20004840	uint16_t	
[59]	154	0x20004842	uint16_t	
[60]	154	0x20004844	uint16_t	
[61]	142	0x20004846	uint16_t	
[62]	143	0x20004848	uint16_t	
[63]	145	0x2000484A	uint16_t	
[64]	145	0x2000484C	uint16_t	
[65]	147	0x2000484E	uint16_t	
[66]	147	0x20004850	uint16_t	
[67]	148	0x20004852	uint16_t	
[68]	152	0x20004854	uint16_t	
[69]	151	0x20004856	uint16_t	
[70]	154	0x20004858	uint16_t	
[71]	156	0x2000485A	uint16_t	
[72]	157	0x2000485C	uint16_t	
[73]	159	0x2000485E	uint16_t	
[74]	160	0x20004860	uint16_t	
[75]	161	0x20004862	uint16_t	
[76]	161	0x20004864	uint16_t	
[77]	164	0x20004866	uint16_t	
[78]	165	0x20004868	uint16_t	
[79]	167	0x2000486A	uint16_t	
[80]	168	0x2000486C	uint16_t	
[81]	168	0x2000486E	uint16_t	
[82]	172	0x20004870	uint16_t	
[83]	175	0x20004872	uint16_t	
[84]	175	0x20004874	uint16_t	
[85]	177	0x20004876	uint16_t	
[86]	179	0x20004878	uint16_t	
[87]	181	0x2000487A	uint16_t	
[88]	184	0x2000487C	uint16_t	
[89]	185	0x2000487E	uint16_t	
[90]	188	0x20004880	uint16_t	
[91]	171	0x20004882	uint16_t	
[92]	172	0x20004884	uint16_t	
[93]	174	0x20004886	uint16_t	
[94]	176	0x20004888	uint16_t	
[95]	179	0x2000488A	uint16_t	
[96]	182	0x2000488C	uint16_t	
[97]	183	0x2000488E	uint16_t	
[98]	186	0x20004890	uint16_t	
[99]	189	0x20004892	uint16_t	
[100]	190	0x20004894	uint16_t	
[101]	192	0x20004896	uint16_t	
[102]	198	0x20004898	uint16_t	
[103]	198	0x2000489A	uint16_t	
[104]	199	0x2000489C	uint16_t	
[105]	202	0x2000489E	uint16_t	
[106]	206	0x200048A0	uint16_t	
[107]	206	0x200048A2	uint16_t	
[108]	211	0x200048A4	uint16_t	
[109]	213	0x200048A6	uint16_t	
[110]	217	0x200048A8	uint16_t	
[111]	219	0x200048AA	uint16_t	
[112]	221	0x200048AC	uint16_t	
[113]	225	0x200048AE	uint16_t	
[114]	230	0x200048B0	uint16_t	
[115]	233	0x200048B2	uint16_t	
[116]	237	0x200048B4	uint16_t	
[117]	240	0x200048B6	uint16_t	
[118]	243	0x200048B8	uint16_t	
[119]	247	0x200048BA	uint16_t	
[120]	253	0x200048BC	uint16_t	
[121]	228	0x200048BE	uint16_t	
[122]	0	0x200048C0	uint16_t	
[123]	0	0x200048C2	uint16_t	
[124]	0	0x200048C4	uint16_t	
[125]	0	0x200048C6	uint16_t	
[126]	0	0x200048C8	uint16_t	
[127]	0	0x200048CA	uint16_t	
[128]	0	0x200048CC	uint16_t	
[129]	0	0x200048CE	uint16_t	
PLL_FREQ	59999976	0x20004B30	uint32_t	
c	<struct>	0x20004A64	PLLParamCon_TypeDef	
clock_src	4194304	0x20004A64	uint32_t	
PLLM	15	0x20004A68	uint32_t	
PLLN	144	0x20004A6C	uint32_t	
PLLP	65536	0x20004A70	uint32_t	
AHBDiv	0	0x20004A74	uint32_t	
APB1Div	5120	0x20004A78	uint32_t	
APB2Div	32768	0x20004A7C	uint32_t	
